year,url,election_type,notes,include
2025-26,https://www.ucu.org.uk/article/14191/UCU-UK-elections-2025-26,UK national,,yes
2024-25,https://www.ucu.org.uk/article/13734/UCU-UK-elections-2024-25,UK national,,yes
2023-24,https://www.ucu.org.uk/elections-2023-24,UK national,,yes
2023,https://www.ucu.org.uk/article/12531/UCU-officer-and-NEC-elections-in-2023-results,UK national,,yes
2021-22,https://www.ucu.org.uk/article/11791/UCU-trustee-officer-and-NEC-elections-in-2021-22-results,UK national,,yes
2020-21,https://www.ucu.org.uk/article/11040/UCU-officer-and-national-executive-committee-elections-in-2021,UK national,,yes
2019-20,https://www.ucu.org.uk/article/10339/UCU-trustee-national-officer-and-national-executive-committee-elections-in-2019-20-election-results,UK national,,yes
2019,https://www.ucu.org.uk/article/9677/UCU-national-officer-and-national-executive-committee-elections-in-2019,UK national,,yes
2018,https://www.ucu.org.uk/article/7228/UCU-national-officer-and-national-executive-committee-elections-2018,UK national,,yes
2017,https://www.ucu.org.uk/article/8961/UCU-national-officer-and-national-executive-committee-elections-2017,UK national,,yes
2016,https://www.ucu.org.uk/article/8270/UCU-national-officer-and-national-executive-committee-elections-2016,UK national,,yes
2015,https://www.ucu.org.uk/article/7620/Trustee-officer-and-national-executive-committee-elections-2015,UK national,,yes
2014,https://www.ucu.org.uk/article/6769/Officer-and-national-executive-committee-elections-2014,UK national,,yes
2013,https://www.ucu.org.uk/article/6338/Officer-and-national-executive-committee-elections-2013,UK national,,yes
2012,https://www.ucu.org.uk/article/5781/General-secretary-trustee-officer-and-national-executive-committee-elections-2012,UK national,Includes general secretary election,yes
2011,https://www.ucu.org.uk/article/5074/Officer-and-national-executive-committee-elections-2011,UK national,,yes
2010,https://www.ucu.org.uk/article/2901/Officer-and-national-executive-committee-elections-2010,UK national,,yes
2009,https://www.ucu.org.uk/article/4194/Officer-and-national-executive-committee-elections-2009,UK national,,yes
2008,https://www.ucu.org.uk/article/3530/Officer-and-national-executive-committee-elections-2008,UK national,,yes
2007,https://www.ucu.org.uk/article/2884/Officer-and-national-executive-committee-elections-2007,UK national,,yes
2019,https://www.ucu.org.uk/GS-election,general secretary,,review
2017,https://www.ucu.org.uk/article/10567/UCU-general-secretary-election-2017,general secretary,,review
2007,https://www.ucu.org.uk/article/1854/General-secretary-election-2007,general secretary,,review
2013,https://www.ucu.org.uk/article/6664/UCU-national-executive-casual-vacancy-2013,casual vacancy,,review
2025,https://www.ucu.org.uk/article/14053/National-executive-committee-casual-vacancies-2025,casual vacancy,,review
2025,https://www.ucu.org.uk/NECcasualvacancyLE,casual vacancy,NEC casual vacancy HE,review
2023,https://www.ucu.org.uk/article/12336/NEC-casual-vacancy-further-education---South,casual vacancy,FE South,review
2021,https://www.ucu.org.uk/article/11601/UCU-national-executive-committee-casual-vacancy-ballot-result,casual vacancy,,review
2008,https://www.ucu.org.uk/article/3081/National-executive-committee-casual-vacancy-2008,casual vacancy,,review
2024-25,https://www.ucu.org.uk/ucuscotland-elections,Scotland,,review
2023,https://www.ucu.org.uk/article/12530/UCU-Scotland-elections-in-2023-results,Scotland,,review
2020-21,https://www.ucu.org.uk/ucus-elections,Scotland,,review
2019,https://www.ucu.org.uk/article/8447/UCU-Scotland-elections-2019,Scotland,,review
2017,https://www.ucu.org.uk/article/8964/UCU-Scotland-elections-2017,Scotland,,review
2007,https://www.ucu.org.uk/ucuselections,Scotland,,review
